Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
254,4/25/2020,5:00 PM,Madhya Pradesh,0,0,210,92,1952
255,4/25/2020,5:00 PM,Maharashtra,0,0,957,301,6817
256,4/26/2020,5:00 PM,Delhi,0,0,869,54,2625
257,4/26/2020,5:00 PM,Goa,0,0,7,0,7
258,4/26/2020,5:00 PM,Gujarat,0,0,282,133,3071
259,4/26/2020,5:00 PM,Karnataka,0,0,177,18,501
260,4/26/2020,5:00 PM,Madhya Pradesh,0,0,210,99,2096
261,4/26/2020,5:00 PM,Maharashtra,0,0,1076,323,7628
262,4/27/2020,5:00 PM,Delhi,0,0,877,54,2918
263,4/27/2020,5:00 PM,Goa,0,0,7,0,7
264,4/27/2020,5:00 PM,Gujarat,0,0,313,151,3301
265,4/27/2020,5:00 PM,Karnataka,0,0,188,20,511
266,4/27/2020,5:00 PM,Madhya Pradesh,0,0,302,106,2168
267,4/27/2020,5:00 PM,Maharashtra,0,0,1188,342,8068
268,4/28/2020,5:00 PM,Delhi,0,0,877,54,3108
269,4/28/2020,5:00 PM,Goa,0,0,7,0,7
270,4/28/2020,5:00 PM,Gujarat,0,0,394,162,3548
271,4/28/2020,5:00 PM,Karnataka,0,0,198,20,520
272,4/28/2020,5:00 PM,Madhya Pradesh,0,0,361,113,2368
273,4/28/2020,5:00 PM,Maharashtra,0,0,1282,369,8590
274,4/29/2020,5:00 PM,Delhi,0,0,1078,54,3314
275,4/29/2020,5:00 PM,Goa,0,0,7,0,7
276,4/29/2020,5:00 PM,Gujarat,0,0,434,181,3774
277,4/29/2020,5:00 PM,Karnataka,0,0,215,20,532
278,4/29/2020,5:00 PM,Madhya Pradesh,0,0,377,119,2561
279,4/29/2020,5:00 PM,Maharashtra,0,0,1388,400,9318
280,4/30/2020,5:00 PM,Delhi,0,0,1092,56,3439
281,4/30/2020,5:00 PM,Goa,0,0,7,0,7
282,4/30/2020,5:00 PM,Gujarat,0,0,527,197,4082
283,4/30/2020,5:00 PM,Karnataka,0,0,223,21,557
284,4/30/2020,5:00 PM,Madhya Pradesh,0,0,461,130,2660
285,4/30/2020,5:00 PM,Maharashtra,0,0,1593,432,9915
286,5/1/2020,5:00 PM,Delhi,0,0,1094,59,3515
287,5/1/2020,5:00 PM,Goa,0,0,7,0,7
288,5/1/2020,5:00 PM,Gujarat,0,0,613,214,4395
289,5/1/2020,5:00 PM,Karnataka,0,0,235,22,576
290,5/1/2020,5:00 PM,Madhya Pradesh,0,0,482,137,2719
291,5/1/2020,5:00 PM,Maharashtra,0,0,1773,459,10498
292,5/2/2020,5:00 PM,Delhi,0,0,1167,61,3738
293,5/2/2020,5:00 PM,Goa,0,0,7,0,7
294,5/2/2020,5:00 PM,Gujarat,0,0,735,236,4721
295,5/2/2020,5:00 PM,Karnataka,0,0,251,22,589
296,5/2/2020,5:00 PM,Madhya Pradesh,0,0,524,145,2719
297,5/2/2020,5:00 PM,Maharashtra,0,0,1879,485,11506
298,5/3/2020,5:00 PM,Delhi,0,0,1256,64,4122
299,5/3/2020,5:00 PM,Goa,0,0,7,0,7
300,5/3/2020,5:00 PM,Gujarat,0,0,896,262,5055
301,5/3/2020,5:00 PM,Karnataka,0,0,282,25,606
302,5/3/2020,5:00 PM,Madhya Pradesh,0,0,798,156,2846
303,5/3/2020,5:00 PM,Maharashtra,0,0,2000,521,12296
304,5/4/2020,5:00 PM,Delhi,0,0,1362,64,4549
305,5/4/2020,5:00 PM,Goa,0,0,7,0,7
306,5/4/2020,5:00 PM,Gujarat,0,0,1042,290,5428
307,5/4/2020,5:00 PM,Karnataka,0,0,304,26,642
